  1 2018-03-16 19:04:08.668735 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=1/256, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 13 2018-03-16 19:04:08.668865 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=24/6144, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 14 2018-03-16 19:04:08.668867 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=150/38400, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 15 2018-03-16 19:04:08.668869 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=7/1792, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 16 2018-03-16 19:04:08.668871 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=25/6400, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 17 2018-03-16 19:04:08.668872 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=141/36096, ttl=64 (request in 2) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 18 2018-03-16 19:04:08.668874 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=166/42496, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 19 2018-03-16 19:04:08.668876 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=26/6656, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 20 2018-03-16 19:04:08.668877 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=147/37632, ttl=64 (request in 3) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 21 2018-03-16 19:04:08.668878 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=167/42752, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 22 2018-03-16 19:04:08.668881 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=27/6912, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 23 2018-03-16 19:04:08.668882 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=2/512, ttl=64 (request in 4) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 24 2018-03-16 19:04:08.668883 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=28/7168, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 25 2018-03-16 19:04:08.668886 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=168/43008, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 26 2018-03-16 19:04:08.668887 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=148/37888, ttl=64 (request in 5) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 27 2018-03-16 19:04:08.668888 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=29/7424, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 28 2018-03-16 19:04:08.668891 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=169/43264, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 29 2018-03-16 19:04:08.668893 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=165/42240, ttl=64 (request in 6) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 30 2018-03-16 19:04:08.668894 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=30/7680, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 31 2018-03-16 19:04:08.668896 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=31/7936, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 32 2018-03-16 19:04:08.668897 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=3/768, ttl=64 (request in 7) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 33 2018-03-16 19:04:08.668898 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=170/43520, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 34 2018-03-16 19:04:08.668901 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=32/8192, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 35 2018-03-16 19:04:08.668902 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=4/1024, ttl=64 (request in 8) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 36 2018-03-16 19:04:08.668903 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=171/43776, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 37 2018-03-16 19:04:08.668905 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=33/8448, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 38 2018-03-16 19:04:08.668907 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=149/38144, ttl=64 (request in 9) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 39 2018-03-16 19:04:08.668907 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=172/44032, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 40 2018-03-16 19:04:08.668910 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=34/8704, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 41 2018-03-16 19:04:08.668912 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=5/1280, ttl=64 (request in 11) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 42 2018-03-16 19:04:08.668912 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=35/8960, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 43 2018-03-16 19:04:08.668915 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=173/44288, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 44 2018-03-16 19:04:08.668916 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=6/1536, ttl=64 (request in 12) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 45 2018-03-16 19:04:08.668918 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=174/44544, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 46 2018-03-16 19:04:08.668920 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=36/9216, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 47 2018-03-16 19:04:08.668921 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=24/6144, ttl=64 (request in 13) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 48 2018-03-16 19:04:08.668923 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=175/44800, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 49 2018-03-16 19:04:08.668925 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=150/38400, ttl=64 (request in 14) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 50 2018-03-16 19:04:08.668926 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=176/45056, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 51 2018-03-16 19:04:08.668930 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=177/45312, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 52 2018-03-16 19:04:08.668933 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=178/45568, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 53 2018-03-16 19:04:08.668937 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=7/1792, ttl=64 (request in 15) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 54 2018-03-16 19:04:08.668941 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=151/38656, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 55 2018-03-16 19:04:08.668942 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=25/6400, ttl=64 (request in 16) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 56 2018-03-16 19:04:08.668944 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=37/9472, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 57 2018-03-16 19:04:08.668946 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=166/42496, ttl=64 (request in 18) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 58 2018-03-16 19:04:08.668946 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=38/9728, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 59 2018-03-16 19:04:08.668950 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=179/45824, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 60 2018-03-16 19:04:08.668951 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=26/6656, ttl=64 (request in 19) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 61 2018-03-16 19:04:08.668953 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=39/9984, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 62 2018-03-16 19:04:08.668956 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=40/10240, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 63 2018-03-16 19:04:08.668956 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=167/42752, ttl=64 (request in 21) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 64 2018-03-16 19:04:08.668959 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=180/46080, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 65 2018-03-16 19:04:08.668960 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=27/6912, ttl=64 (request in 22) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 66 2018-03-16 19:04:08.668965 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=28/7168, ttl=64 (request in 24) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 67 2018-03-16 19:04:08.668965 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=8/2048, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 68 2018-03-16 19:04:08.668968 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=41/10496, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 69 2018-03-16 19:04:08.668969 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=168/43008, ttl=64 (request in 25) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 70 2018-03-16 19:04:08.668970 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=181/46336, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 71 2018-03-16 19:04:08.668973 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=42/10752, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 72 2018-03-16 19:04:08.668973 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=29/7424, ttl=64 (request in 27) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 73 2018-03-16 19:04:08.668975 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=43/11008, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 74 2018-03-16 19:04:08.668978 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=182/46592, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 75 2018-03-16 19:04:08.668978 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=169/43264, ttl=64 (request in 28) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 76 2018-03-16 19:04:08.668981 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=44/11264, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 77 2018-03-16 19:04:08.668983 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=30/7680, ttl=64 (request in 30) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 78 2018-03-16 19:04:08.668984 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=183/46848, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 79 2018-03-16 19:04:08.668987 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=45/11520, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 80 2018-03-16 19:04:08.668987 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=31/7936, ttl=64 (request in 31) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 81 2018-03-16 19:04:08.668990 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=46/11776, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 82 2018-03-16 19:04:08.668991 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=170/43520, ttl=64 (request in 33) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 83 2018-03-16 19:04:08.668993 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=184/47104, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 84 2018-03-16 19:04:08.668995 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=32/8192, ttl=64 (request in 34) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 85 2018-03-16 19:04:08.668996 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=47/12032, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 86 2018-03-16 19:04:08.668999 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=185/47360, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 87 2018-03-16 19:04:08.668999 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=171/43776, ttl=64 (request in 36) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 88 2018-03-16 19:04:08.669002 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=48/12288, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 89 2018-03-16 19:04:08.669003 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=33/8448, ttl=64 (request in 37) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 90 2018-03-16 19:04:08.669005 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=186/47616, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 91 2018-03-16 19:04:08.669008 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=49/12544, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 92 2018-03-16 19:04:08.669008 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=172/44032, ttl=64 (request in 39) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 93 2018-03-16 19:04:08.669011 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=187/47872, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 94 2018-03-16 19:04:08.669014 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=34/8704, ttl=64 (request in 40) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 95 2018-03-16 19:04:08.669014 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=188/48128, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 96 2018-03-16 19:04:08.669017 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=189/48384, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 97 2018-03-16 19:04:08.669018 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=35/8960, ttl=64 (request in 42) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
 98 2018-03-16 19:04:08.669020 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=190/48640, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 99 2018-03-16 19:04:08.669023 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=173/44288, ttl=64 (request in 43) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
100 2018-03-16 19:04:08.669027 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=9/2304, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
101 2018-03-16 19:04:08.669027 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=174/44544, ttl=64 (request in 45) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
102 2018-03-16 19:04:08.669030 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=50/12800, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
103 2018-03-16 19:04:08.669032 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=36/9216, ttl=64 (request in 46) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
104 2018-03-16 19:04:08.669033 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=191/48896, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
105 2018-03-16 19:04:08.669036 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=192/49152, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
106 2018-03-16 19:04:08.669036 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=175/44800, ttl=64 (request in 48) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
107 2018-03-16 19:04:08.669039 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=193/49408, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
108 2018-03-16 19:04:08.669040 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=176/45056, ttl=64 (request in 50) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
109 2018-03-16 19:04:08.669045 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=177/45312, ttl=64 (request in 51) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
110 2018-03-16 19:04:08.669045 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=152/38912, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
111 2018-03-16 19:04:08.669048 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=194/49664, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
112 2018-03-16 19:04:08.669048 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=178/45568, ttl=64 (request in 52) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
113 2018-03-16 19:04:08.669050 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=195/49920, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
114 2018-03-16 19:04:08.669052 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=151/38656, ttl=64 (request in 54) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
115 2018-03-16 19:04:08.669053 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=196/50176, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
116 2018-03-16 19:04:08.669056 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=197/50432, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
117 2018-03-16 19:04:08.669057 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=37/9472, ttl=64 (request in 56) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
118 2018-03-16 19:04:08.669059 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=198/50688, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
119 2018-03-16 19:04:08.669061 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=38/9728, ttl=64 (request in 58) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
120 2018-03-16 19:04:08.669065 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=179/45824, ttl=64 (request in 59) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
121 2018-03-16 19:04:08.669065 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=199/50944, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
122 2018-03-16 19:04:08.669069 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=39/9984, ttl=64 (request in 61) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
123 2018-03-16 19:04:08.669071 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=200/51200, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
124 2018-03-16 19:04:08.669073 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=40/10240, ttl=64 (request in 62) 90:e2:ba:ab:01:5c -> 90:e2:ba:24:cf:f4
